Шот с утвержденной анимацией от китайцев,"Длительность,кадров",,Номер эпизода,"Номер шота с утвержденной анимацией (нашей), в т.ч. шоты без анимации","Длительность,кадров"
,,,70,SHOT_229,86
,,,70,SHOT_244,75
,,,230,SHOT_010,479
,,,230,SHOT_110,102
,,,230,SHOT_130,155
,,,70,SHOT_362,81
,,,230,SHOT_180,104
,,,300,SHOT_010,90
,,,820,SHOT_720,25
,,,250,SHOT_160,54
,,,300,SHOT_80,140
,,,300,SHOT_50,53
,,,230,SHOT_120,37
,,,820,SHOT_880,29
,,,250,SHOT_080,77
,,,250,SHOT_130,192
,,,820,SHOT_792,22
,,,820,SHOT_420,78
,,,250,SHOT_105,170
,,,820,SHOT_660,90
,,,300,SHOT_040,134
,,,820,SHOT_710,47
,,,222,SHOT_010,32
,,,222,SHOT_050,20
,,,222,SHOT_070,39
,,,222,SHOT_080,18
,,,250,SHOT_140,125
,,,820,SHOT_470,100
,,,230,SHOT_060,40
,,,230,SHOT_070,80
,,,820,SHOT_105,148
,,,820,SHOT_740,101
,,,820,SHOT_960,47
,,,820,SHOT_640,24
,,,820,SHOT_106,65
,,,820,SHOT_793,40
,,,700,SHOT_090,55
,,,820,SHOT_520,74
,,,820,SHOT_104,48
,,,820,SHOT_990,70
,,,250,SHOT_100,202
,,,820,SHOT_690,39
,,,820,SHOT_580,139
,,,820,SHOT_890,91
,,,820,SHOT_480,87
,,,820,SHOT_590,125
,,,820,SHOT_650,27
,,,820,SHOT_700,50
,,,820,SHOT_730,44
,,,820,SHOT_760,127
,,,820,SHOT_780,129
,,,820,SHOT_790,38
,,,820,SHOT_000,27
,,,250,SHOT_109,231
,,,820,SHOT_090,450
,,,820,SHOT_262,23
,,,200,SHOT_090,39
,,,200,SHOT_070,53
,,,140,SHOT_031,21
,,,200,SHOT_100,139
,,,700,SHOT_251,33
,,,140,SHOT_030,30
,,,200,SHOT_135,230
,,,140,SHOT_032,66
,,,200,SHOT_110,67
,,,580,SHOT_072,18
,,,580,SHOT_105,137
,,,140,SHOT_033,55
,,,180,SHOT_407,100
,,,200,SHOT_120,336
,,,190,SHOT_050,82
,,,740,SHOT_095,121
,,,780,SHOT_031,50
,,,330,SHOT_220,103
,,,140,SHOT_060,51
,,,200,SHOT_080,30
,,,222,SHOT_320,109
,,,200,SHOT_140,56
,,,200,SHOT_060,126
,,,160,SHOT_069,105
,,,200,SHOT_101,99
,,,200,SHOT_111,100
,,,222,SHOT_160,89
,,,222,SHOT_090,18
,,,222,SHOT_100,39
,,,190,SHOT_051,288
,,,222,SHOT_330,47
,,,200,SHOT_170,176
,,,700,SHOT_040,111
,,,200,SHOT_160,33
,,,700,SHOT_020,156
,,,222,SHOT_430,26
,,,222,SHOT_420,35
,,,680,SHOT_460,44
,,,222,SHOT_310,13
,,,250,SHOT_108,182
,,,200,SHOT_190,453
,,,700,SHOT_100,195
,,,222,SHOT_170,164
,,,222,SHOT_020,39
,,,222,SHOT_030,34
,,,222,SHOT_035,47
,,,700,SHOT_060,63
,,,590,SHOT_081,50
,,,700,SHOT_010,39
,,,222,SHOT_650,78
,,,310,SHOT_200,60
,,,200,SHOT_030,55
,,,210,SHOT_010,249
,,,265 шотов,,"19,42"
