,Rendering,Episodes,Animation,Layout,Compositing
0,1.31,740,1.23,1.31,1.31
1,1.43,710,1.43,1.43,1.43
2,4.19,680,4.19,4.19,4.19
3,2.27,730,2.27,1.46,2.27
4,2.47,690,2.47,2.47,2.47
5,1.63,790,1.63,1.63,1.63
6,0.82,650,0.82,0.82,0.82
7,0.63,780,0.6,0.63,0.63
8,0.71,660,0.64,0.71,0.71
9,0.23,731,0.23,0.23,0.23
10,2.38,670,2.38,2.38,2.38
11,0.92,700,0.92,0.92,0.92
12,0.19,800,0.0,0.19,0.19
13,9.42,820,9.42,9.42,9.42
14,0.43,750,0.43,0.43,0.43
15,0.57,760,0.57,0.57,0.57
16,0.65,770,0.65,0.65,0.65
