Episodes,Animation,Compositing,Layout,Rendering
650,0.0,0.0,100.0,0.0
660,0.0,0.0,100.0,0.0
670,0.0,0.0,0.0,0.0
680,0.0,0.0,0.0,0.0
690,0.0,0.0,0.0,0.0
700,30.421686747,0.0,100.0,0.0
710,11.3161728995,0.0,100.0,0.0
730,0.0,0.0,0.0,0.0
731,0.0,0.0,0.0,0.0
740,0.0,0.0,100.0,0.0
750,0.0,0.0,100.0,0.0
760,0.0,0.0,100.0,0.0
770,0.0,0.0,100.0,0.0
780,0.0,0.0,100.0,0.0
790,0.0,0.0,0.0,0.0
800,,0.0,100.0,0.0
820,18.5574590104,0.0,18.5574590104,0.176457613411
