,Rendering,Episodes,Animation,Layout,Compositing
0,1.11,550,1.11,1.11,1.11
1,0.14,420,0.14,0.14,0.14
2,0.46,570,0.46,0.46,0.46
3,0.63,590,0.63,0.63,0.63
4,0.37,440,0.37,0.37,0.37
5,0.58,460,0.58,0.58,0.58
6,1.18,620,1.18,1.18,1.18
7,0.21,630,0.21,0.21,0.21
8,0.78,640,0.78,0.78,0.78
9,0.03,490,0.03,0.03,0.03
10,0.64,610,0.64,0.64,0.64
11,0.12,430,0.12,0.12,0.12
12,1.28,450,1.28,1.28,1.28
13,0.4,480,0.4,0.4,0.4
14,0.68,500,0.68,0.68,0.68
15,2.0,540,2.0,2.0,2.0
16,0.33,560,0.33,0.33,0.33
17,0.21,600,0.21,0.21,0.21
18,0.46,410,0.46,0.46,0.46
19,0.84,580,0.84,0.84,0.84
20,0.26,470,0.26,0.26,0.26
21,0.35,510,0.35,0.35,0.35
22,1.21,520,1.21,1.21,1.21
23,0.65,530,0.65,0.65,0.65
