,NAME,STATUS,SHOT,SEQ,REEL
144,Animation,In progress,SHOT_140,230,230
145,Assemble,Completed,SHOT_435,180,180
146,Paint,Completed,SHOT_200,700,700
147,Compositing,Approved,SHOT_160,070,070
148,Paint,Completed,SHOT_160,070,070
149,Rendering,In progress,SHOT_160,070,070
150,Modeling,In progress,SHOT_033,000,000
151,Fur,Completed,SHOT_020,050,050
152,Animation,Ready to Start,SHOT_090,360,360
153,Layout,Completed,SHOT_090,360,360
154,Compositing,Approved,SHOT_080,070,070
155,Paint,Completed,SHOT_080,070,070
156,Rendering,In progress,SHOT_080,070,070
157,Rendering,In progress,SHOT_180,070,070
158,Compositing,Approved,SHOT_221,070,070
159,Paint,Completed,SHOT_221,070,070
160,Rendering,Completed,SHOT_221,070,070
161,Layout,In progress,SHOT_125,580,580
162,Animation,Ready to Start,SHOT_040,450,450
163,Layout,Completed,SHOT_040,450,450
164,FTP,Completed,SHOT_050,300,300
165,Layout,In progress,SHOT_031,590,590
166,FTP,Completed,SHOT_080,300,300
167,FTP,Completed,SHOT_040,300,300
168,FTP,Completed,SHOT_090,300,300
169,FTP,Completed,SHOT_010,300,300
170,Layout,In progress,SHOT_910,820,820
171,Animation,Ready to Start,SHOT_110,360,360
172,Layout,Completed,SHOT_110,360,360
173,Layout,In progress,SHOT_920,820,820
174,Layout,In progress,SHOT_020,690,690
175,Animation,Ready to Start,SHOT_160,450,450
176,Layout,Completed,SHOT_160,450,450
177,Animation,Ready to Start,SHOT_160,360,360
178,Layout,Completed,SHOT_160,360,360
179,Animation,Ready to Start,SHOT_090,650,650
180,Layout,Completed,SHOT_090,650,650
181,Layout,In progress,SHOT_930,820,820
182,Animation,Ready to Start,SHOT_110,450,450
183,Layout,Completed,SHOT_110,450,450
184,Animation,Ready to Start,SHOT_010,650,650
185,Layout,Completed,SHOT_010,650,650
186,Layout,In progress,SHOT_090,730,730
187,Layout,In progress,SHOT_940,820,820
188,Layout,In progress,SHOT_080,610,610
189,Hair and Fur,Completed,SHOT_358,070,070
190,Animation,Approved,SHOT_358,070,070
191,Lookdev,In progress,SHOT_358,070,070
192,Cloth,Completed,SHOT_358,070,070
193,Baking,Completed,SHOT_358,070,070
194,Animation,In progress,SHOT_100,250,250
195,hair and fur,Completed,SHOT_160,180,180
196,Baking,Ready to Start,SHOT_031,780,780
197,Layout,In progress,SHOT_950,820,820
198,Layout,In progress,SHOT_100,590,590
199,Layout,In progress,SHOT_960,820,820
200,FTP,Completed,SHOT_130,250,250
201,Layout,In progress,SHOT_010,820,820
202,FTP,Completed,SHOT_160,250,250
203,FTP,Completed,SHOT_107,250,250
204,FTP,Completed,SHOT_100,250,250
205,Layout,In progress,SHOT_970,820,820
206,Layout,In progress,SHOT_020,820,820
207,FTP,Completed,SHOT_140,250,250
208,FTP,Completed,SHOT_109,250,250
209,Layout,In progress,SHOT_040,610,610
210,Layout,In progress,SHOT_030,820,820
211,FTP,Completed,SHOT_106,250,250
212,FTP,Completed,SHOT_090,250,250
213,FTP,Completed,SHOT_110,250,250
214,Layout,In progress,SHOT_040,820,820
215,FTP,Completed,SHOT_105,250,250
216,FTP,Completed,SHOT_080,250,250
217,Layout,In progress,SHOT_060,820,820
218,Compositing,Approved,SHOT_372,070,070
219,Paint,Completed,SHOT_372,070,070
220,Rendering,Completed,SHOT_372,070,070
221,FTP,Completed,SHOT_108,250,250
222,Lookdev,Approved,SHOT_372,070,070
223,Layout,In progress,SHOT_070,820,820
224,Layout,In progress,SHOT_080,820,820
225,Layout,In progress,SHOT_090,820,820
226,Layout,In progress,SHOT_100,820,820
227,Layout,In progress,SHOT_980,820,820
228,Layout,In progress,SHOT_000,820,820
229,Layout,In progress,SHOT_101,820,820
230,Layout,In progress,SHOT_102,820,820
231,Layout,In progress,SHOT_990,820,820
232,Layout,In progress,SHOT_103,820,820
233,Layout,In progress,SHOT_104,820,820
234,Layout,In progress,SHOT_105,820,820
235,Animation,Ready to Start,SHOT_190,360,360
236,Layout,Completed,SHOT_190,360,360
237,Layout,In progress,SHOT_080,690,690
238,Layout,In progress,SHOT_012,600,600
239,Animation,Ready to Start,SHOT_210,450,450
240,Layout,Completed,SHOT_210,450,450
241,Layout,In progress,SHOT_560,310,310
242,Layout,In progress,SHOT_310,820,820
243,Layout,Completed,SHOT_030,140,140
244,Layout,In progress,SHOT_320,820,820
245,fx,Ready to Start,SHOT_454,180,180
246,Paint,Completed,SHOT_220,700,700
247,Layout,In progress,SHOT_330,820,820
248,Animation,Ready to Start,SHOT_170,450,450
249,Layout,Completed,SHOT_170,450,450
250,Compositing,Ready to Start,SHOT_240,060,060
251,Layout,In progress,SHOT_010,620,620
252,Layout,In progress,SHOT_020,620,620
253,Layout,In progress,SHOT_030,620,620
254,Animation,Ready to Start,SHOT_050,450,450
255,Layout,In progress,SHOT_050,620,620
256,Layout,Completed,SHOT_050,450,450
257,Layout,In progress,SHOT_060,620,620
258,Layout,In progress,SHOT_070,620,620
259,Layout,In progress,SHOT_080,620,620
260,Compositing,Pending Review,SHOT_070,090,090
261,Animation,In progress,SHOT_080,250,250
262,Paint,Ready to Start,SHOT_070,090,090
263,Lookdev,Pending Review,SHOT_070,090,090
264,Layout,In progress,SHOT_090,620,620
265,Layout,In progress,SHOT_340,820,820
266,Layout,In progress,SHOT_100,620,620
267,Layout,In progress,SHOT_110,620,620
268,Layout,In progress,SHOT_120,620,620
269,Layout,In progress,SHOT_130,620,620
270,Layout,In progress,SHOT_140,620,620
271,Layout,In progress,SHOT_150,620,620
272,Layout,In progress,SHOT_160,620,620
273,Layout,In progress,SHOT_170,620,620
274,Layout,In progress,SHOT_070,610,610
275,fx,Ready to Start,SHOT_026,170,170
276,Animation,Ready to Start,SHOT_020,650,650
277,Layout,In progress,SHOT_350,820,820
278,Layout,Completed,SHOT_020,650,650
279,Animation,Ready to Start,SHOT_100,360,360
280,Layout,Completed,SHOT_100,360,360
281,Layout,In progress,SHOT_040,590,590
282,Layout,In progress,SHOT_010,610,610
283,Layout,In progress,SHOT_380,820,820
284,Layout,In progress,SHOT_130,730,730
285,Layout,In progress,SHOT_390,820,820
286,Layout,In progress,SHOT_400,820,820
287,Layout,In progress,SHOT_410,820,820
288,Layout,In progress,SHOT_420,820,820
289,Animation,Ready to Start,SHOT_100,650,650
290,Layout,Completed,SHOT_100,650,650
291,Hair and Fur,Completed,SHOT_031,220,220
292,Compositing,Pending Review,SHOT_031,220,220
293,Paint,Completed,SHOT_031,220,220
294,Animation,Approved,SHOT_031,220,220
295,Lookdev,Ready to Start,SHOT_031,220,220
296,Cloth,Completed,SHOT_031,220,220
297,Baking,Completed,SHOT_031,220,220
298,Compositing,In progress,SHOT_030,050,050
299,Layout,In progress,SHOT_430,820,820
300,Paint,Completed,SHOT_030,050,050
301,Rendering,Completed,SHOT_030,050,050
302,Lookdev,Approved,SHOT_030,050,050
303,Layout,In progress,SHOT_100,730,730
304,Layout,In progress,SHOT_106,820,820
305,Layout,In progress,SHOT_440,820,820
306,hair and fur,Ready to Start,SHOT_190,180,180
307,Layout,In progress,SHOT_107,820,820
308,hair and fur,Completed,SHOT_026,170,170
309,Layout,In progress,SHOT_108,820,820
310,Animation,Ready to Start,SHOT_140,360,360
311,Layout,Completed,SHOT_140,360,360
312,Layout,In progress,SHOT_109,820,820
313,Layout,In progress,SHOT_110,820,820
314,Layout,In progress,SHOT_460,820,820
315,Layout,In progress,SHOT_001,820,820
316,Hair and Fur,Completed,SHOT_032,220,220
317,Animation,Approved,SHOT_032,220,220
318,Lookdev,In progress,SHOT_032,220,220
319,Layout,In progress,SHOT_111,820,820
320,Cloth,Completed,SHOT_032,220,220
321,Baking,Completed,SHOT_032,220,220
322,Layout,In progress,SHOT_600,310,310
323,Layout,In progress,SHOT_112,820,820
324,Layout,In progress,SHOT_470,820,820
325,Layout,In progress,SHOT_113,820,820
326,Layout,In progress,SHOT_114,820,820
327,Layout,In progress,SHOT_115,820,820
328,Paint,Completed,SHOT_180,700,700
329,Layout,In progress,SHOT_116,820,820
330,Layout,In progress,SHOT_117,820,820
331,Layout,In progress,SHOT_480,820,820
332,Animation,Approved,SHOT_021,221,221
333,hair and fur,Ready to Start,SHOT_430,180,180
334,Layout,In progress,SHOT_490,820,820
335,Layout,In progress,SHOT_500,820,820
336,Layout,In progress,SHOT_010,590,590
337,Layout,In progress,SHOT_140,730,730
338,Layout,Completed,SHOT_060,140,140
339,Layout,In progress,SHOT_510,820,820
340,Compositing,Pending Review,SHOT_040,221,221
341,Lookdev,On Hold,SHOT_040,221,221
342,FTP,Completed,SHOT_070,480,480
343,FTP,Completed,SHOT_080,480,480
344,FTP,Completed,SHOT_060,480,480
345,FTP,Completed,SHOT_050,480,480
346,FTP,Completed,SHOT_010,480,480
347,FTP,Completed,SHOT_040,480,480
348,Layout,In progress,SHOT_520,820,820
349,Hair and Fur,Completed,SHOT_376,070,070
350,Compositing,Pending Review,SHOT_376,070,070
351,Paint,Completed,SHOT_376,070,070
352,Animation,Approved,SHOT_376,070,070
353,Lookdev,Ready to Start,SHOT_376,070,070
354,Cloth,Completed,SHOT_376,070,070
355,Baking,Completed,SHOT_376,070,070
356,Layout,In progress,SHOT_120,590,590
357,Animation,Ready to Start,SHOT_060,450,450
358,Layout,Completed,SHOT_060,450,450
359,Animation,Ready to Start,SHOT_010,750,750
360,Layout,Completed,SHOT_010,750,750
361,Animation,Approved,SHOT_241,070,070
362,Layout,In progress,SHOT_050,590,590
363,Assemble,Completed,SHOT_090,170,170
364,Layout,In progress,SHOT_070,590,590
365,Paint,In progress,SHOT_036,000,000
366,Rendering,Completed,SHOT_036,000,000
367,Paint,In progress,SHOT_037,000,000
368,Rendering,Completed,SHOT_037,000,000
369,Paint,In progress,SHOT_038,000,000
370,Rendering,Completed,SHOT_038,000,000
371,Paint,In progress,SHOT_039,000,000
372,Rendering,Completed,SHOT_039,000,000
