,NAME,STATUS,SHOT,SEQ,REEL
631,Cloth,Completed,SHOT_066,160,160
632,Baking,Completed,SHOT_066,160,160
633,Layout,In progress,SHOT_550,820,820
634,Layout,In progress,SHOT_560,820,820
635,Layout,In progress,SHOT_570,820,820
636,FTP,Completed,SHOT_015,280,280
637,Layout,In progress,SHOT_580,820,820
638,FTP,Completed,SHOT_010,280,280
639,FTP,Completed,SHOT_040,280,280
640,FTP,Completed,SHOT_020,280,280
641,FTP,Completed,SHOT_030,280,280
642,Layout,In progress,SHOT_590,820,820
643,Layout,In progress,SHOT_600,820,820
644,Layout,In progress,SHOT_610,820,820
645,Layout,In progress,SHOT_620,820,820
646,Layout,In progress,SHOT_630,820,820
647,Layout,In progress,SHOT_631,820,820
648,Layout,In progress,SHOT_640,820,820
649,Layout,In progress,SHOT_050,610,610
650,Layout,In progress,SHOT_650,820,820
651,Layout,In progress,SHOT_660,820,820
652,Layout,In progress,SHOT_670,820,820
653,Layout,In progress,SHOT_020,590,590
654,Layout,In progress,SHOT_680,820,820
655,Layout,In progress,SHOT_690,820,820
656,Layout,In progress,SHOT_700,820,820
657,Layout,In progress,SHOT_710,820,820
658,Animation,Ready to Start,SHOT_090,450,450
659,Layout,Completed,SHOT_090,450,450
660,FTP,Completed,SHOT_030,630,630
661,Layout,In progress,SHOT_720,820,820
662,Layout,In progress,SHOT_730,820,820
663,Layout,In progress,SHOT_740,820,820
664,Layout,In progress,SHOT_750,820,820
665,Layout,In progress,SHOT_760,820,820
666,Compositing,Approved,SHOT_170,060,060
667,Paint,Completed,SHOT_170,060,060
668,Rendering,Completed,SHOT_170,060,060
669,Layout,In progress,SHOT_770,820,820
670,Layout,In progress,SHOT_780,820,820
671,Layout,In progress,SHOT_790,820,820
672,Compositing,Pending Review,SHOT_220,060,060
673,Layout,In progress,SHOT_800,820,820
674,Paint,Completed,SHOT_220,060,060
675,Rendering,Not started,SHOT_220,060,060
676,Animation,Approved,SHOT_220,060,060
677,Lookdev,In progress,SHOT_220,060,060
678,Baking,Completed,SHOT_220,060,060
679,Cloth,Completed,SHOT_230,060,060
680,Animation,Approved,SHOT_230,060,060
681,Lookdev,In progress,SHOT_230,060,060
682,Animation,Ready to Start,SHOT_362,070,070
683,Layout,In progress,SHOT_810,820,820
684,Baking,Completed,SHOT_230,060,060
685,Layout,In progress,SHOT_820,820,820
686,Layout,In progress,SHOT_830,820,820
687,Layout,In progress,SHOT_146,820,820
688,Layout,In progress,SHOT_840,820,820
689,Layout,In progress,SHOT_850,820,820
690,Layout,In progress,SHOT_860,820,820
691,Animation,In progress,SHOT_090,230,230
692,Layout,In progress,SHOT_870,820,820
693,Layout,In progress,SHOT_147,820,820
694,Layout,In progress,SHOT_880,820,820
695,Layout,In progress,SHOT_010,600,600
696,Layout,In progress,SHOT_890,820,820
697,Layout,In progress,SHOT_900,820,820
698,Layout,In progress,SHOT_148,820,820
699,Lookdev,Not started,SHOT_031,221,221
700,Compositing,On Hold,SHOT_031,221,221
